Company_ID,Date,Sponsor,Govt,Institute,Foreign,Public
DSE-1-8216,"Jun 30, 2022",33.04,0.00,28.73,0.00,38.23
DSE-1-8216,"Apr 30, 2023",33.04,0.00,20.15,0.00,46.81
DSE-1-8216,"May 31, 2023",33.04,0.00,21.69,0.00,45.27
DSE-2-9128,"Jun 30, 2022",30.01,0.00,27.96,0.00,42.03
DSE-2-9128,"Apr 30, 2023",30.01,0.00,35.34,0.00,34.65
DSE-2-9128,"May 31, 2023",30.01,0.00,33.25,0.00,36.74
DSE-3-1079,"Jun 30, 2022",15.51,0.00,21.56,0.00,62.93
DSE-3-1079,"Apr 30, 2023",15.51,0.00,14.40,0.00,70.09
DSE-3-1079,"May 31, 2023",15.51,0.00,14.52,0.00,69.97
DSE-4-2636,"Dec 31, 2021",31.67,0.57,23.49,0.88,43.39
DSE-4-2636,"Apr 30, 2023",31.67,0.57,22.83,0.79,44.14
DSE-4-2636,"May 31, 2023",31.67,0.57,22.82,0.79,44.15
DSE-6-8986,"Jun 30, 2022",65.06,0.00,10.66,0.11,24.17
DSE-6-8986,"Apr 30, 2023",49.58,0.00,14.25,0.10,36.07
DSE-6-8986,"May 31, 2023",49.58,0.00,14.25,0.10,36.07
DSE-7-3101,"Jun 30, 2022",35.28,0.00,40.75,0.00,23.97
DSE-7-3101,"Apr 30, 2023",36.07,0.00,41.07,0.00,22.86
DSE-7-3101,"May 31, 2023",36.07,0.00,41.07,0.00,22.86
DSE-8-5328,"Jun 30, 2022",66.02,0.00,17.96,0.00,16.02
DSE-8-5328,"Apr 30, 2023",66.02,0.00,20.61,0.00,13.37
DSE-8-5328,"May 31, 2023",66.02,0.00,19.94,0.00,14.04
DSE-9-4457,"Jun 30, 2022",39.83,0.00,31.05,0.13,28.99
DSE-9-4457,"Apr 30, 2023",39.88,0.00,30.32,0.14,29.66
DSE-9-4457,"May 31, 2023",39.88,0.00,30.04,0.14,29.94
DSE-10-2149,"Jun 30, 2022",31.80,0.00,27.23,0.01,40.96
DSE-10-2149,"Apr 30, 2023",31.80,0.00,25.25,0.00,42.95
DSE-10-2149,"May 31, 2023",31.80,0.00,25.25,0.00,42.95
DSE-11-3037,"Jun 30, 2022",12.04,0.00,25.13,3.11,59.72
DSE-11-3037,"Apr 30, 2023",12.04,0.00,21.84,0.27,65.85
