Company_ID,Company_Name,Sectors,Trading_Codes,Scrip_Codes,Websites,Urls
DSE-1-8216,aamra networks limited,IT Sector,AAMRANET, 22649, http://www.aamra.com.bd,https://www.dsebd.org/displayCompany.php?name=AAMRANET
DSE-2-9128,aamra technologies limited,IT Sector,AAMRATECH, 22647, http://www.aamra.com.bd,https://www.dsebd.org/displayCompany.php?name=AAMRATECH
DSE-3-1079,AB Bank 1st Mutual fund,Mutual Funds,ABB1STMF, 12189, http://www.abb1stmf.com/,https://www.dsebd.org/displayCompany.php?name=ABB1STMF
DSE-4-2636,AB Bank Limited,Bank,ABBANK, 11101, http://www.abbl.com,https://www.dsebd.org/displayCompany.php?name=ABBANK
DSE-5-4764,AB Bank Perpetual Bond,Textile,ABBLPBOND, 17477, https://www.amancotton.com,https://www.dsebd.org/displayCompany.php?name=ACFL
DSE-6-8986,Aman Cotton Fibrous Limited,Pharmaceuticals & Chemicals,ACFL, 18455, http://www.aci-bd.com,https://www.dsebd.org/displayCompany.php?name=ACI
DSE-7-3101,ACI  Limited,Pharmaceuticals & Chemicals,ACI, 18480, http://www.aci-bd.com/acifl/,https://www.dsebd.org/displayCompany.php?name=ACIFORMULA
DSE-8-5328,ACI Formulations Limited,Pharmaceuticals & Chemicals,ACIFORMULA, 18491, http://www.acmeglobal.com,https://www.dsebd.org/displayCompany.php?name=ACMELAB
DSE-9-4457,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,ACMELAB, 18496, http://www.acmepesticides.com,https://www.dsebd.org/displayCompany.php?name=ACMEPL
DSE-10-2149,ACME Pesticides Limited,Pharmaceuticals & Chemicals,ACMEPL, 18483, http://www.afchem.com,https://www.dsebd.org/displayCompany.php?name=ACTIVEFINE
DSE-11-3037,Active Fine Chemicals Limited,IT Sector,ACTIVEFINE, 22651, http://www.adntel.com.bd,https://www.dsebd.org/displayCompany.php?name=ADNTEL
DSE-12-7292,ADN Telecom Limited,Pharmaceuticals & Chemicals,ADNTEL, 18492, http://www.adventpharmabd.com,https://www.dsebd.org/displayCompany.php?name=ADVENT
DSE-13-2810,Advent Pharma Limited,Pharmaceuticals & Chemicals,ADVENT, 18489, http://www.afcagrobiotech.com,https://www.dsebd.org/displayCompany.php?name=AFCAGRO
DSE-14-3585,AFC Agro Biotech Ltd.,Engineering,AFCAGRO, 13201, http://aftabautomobiles.com,https://www.dsebd.org/displayCompany.php?name=AFTABAUTO
DSE-15-1778,Aftab Automobiles Limited,IT Sector,AFTABAUTO, 22645, http://www.agni.com,https://www.dsebd.org/displayCompany.php?name=AGNISYSL
DSE-16-3847,Agni Systems Ltd.,Insurance,AGNISYSL, 25722, http://www.agraniinsurance.com,https://www.dsebd.org/displayCompany.php?name=AGRANINS
DSE-17-4680,Agrani Insurance Co. Ltd.,Mutual Funds,AGRANINS, 12183, http://www.lrglobalbd.com,https://www.dsebd.org/displayCompany.php?name=AIBL1STIMF
DSE-18-2238,AIBL 1st Islamic Mutual Fund,Corporate Bond,AIBL1STIMF, 26005, http://www.al-arafahbank.com,https://www.dsebd.org/displayCompany.php?name=AIBLPBOND
DSE-19-8308,AIBL Mudaraba Perpetual Bond,Textile,AIBLPBOND, 17436, http://ail.com.bd,https://www.dsebd.org/displayCompany.php?name=AIL
DSE-20-3744,Alif Industries Limited,Textile,AIL, 17401, http://www.alhajtextilemills.com,https://www.dsebd.org/displayCompany.php?name=AL-HAJTEX
DSE-21-3355,Al-Haj Textile Mills Limited,Bank,AL-HAJTEX, 11115, http://www.aibl.com.bd,https://www.dsebd.org/displayCompany.php?name=ALARABANK
DSE-22-1706,Al-Arafah Islami Bank Ltd,Textile,ALARABANK, 17444, http://amcl.com.bd,https://www.dsebd.org/displayCompany.php?name=ALIF
DSE-23-6145,Alif Manufacturing Company Ltd.,Textile,ALIF, 17440, http://www.alltexbd.com,https://www.dsebd.org/displayCompany.php?name=ALLTEX
DSE-24-9209,Alltex Industries Ltd.,Miscellaneous,ALLTEX, 99641, http://www.amanfeed.com,https://www.dsebd.org/displayCompany.php?name=AMANFEED
DSE-25-8398,Aman Feed Limited,Pharmaceuticals & Chemicals,AMANFEED, 18451, http://www.ambeepharma.com,https://www.dsebd.org/displayCompany.php?name=AMBEEPHA
DSE-26-9888,Ambee Pharmaceuticals  Ltd.,Food & Allied,AMBEEPHA, 14277, https://www.amclpran.com/,https://www.dsebd.org/displayCompany.php?name=AMCL(PRAN)
DSE-27-7619,Agricultural Marketing Company Ltd. (Pran,Textile,AMCL(PRAN), 17441, http://www.anlima.com,https://www.dsebd.org/displayCompany.php?name=ANLIMAYARN
DSE-28-7767,Anlimayarn Dyeing Ltd.,Engineering,ANLIMAYARN, 13221, http://www.anwargalvanizing.com,https://www.dsebd.org/displayCompany.php?name=ANWARGALV
DSE-29-2905,Anwar Galvanizing Ltd.,Fuel & Power,ANWARGALV, 15321, http://www.associatedoxygenltd.com,https://www.dsebd.org/displayCompany.php?name=AOL
DSE-30-3926,Associated Oxygen Limited,Food & Allied,AOL, 14254, http://www.apexfoods.com,https://www.dsebd.org/displayCompany.php?name=APEXFOODS
DSE-31-1842,Apex Foods Limited,Tannery Industries,APEXFOODS, 23619, http://www.apexfootwearltd.com,https://www.dsebd.org/displayCompany.php?name=APEXFOOT
DSE-32-8534,Apex Footwear Limited.,Textile,APEXFOOT, 17421, http://www.apexknitting.com,https://www.dsebd.org/displayCompany.php?name=APEXSPINN
DSE-33-1218,Apex Spinning & Knitting Mills Limited,Tannery Industries,APEXSPINN, 23601, http://www.apextannery.com,https://www.dsebd.org/displayCompany.php?name=APEXTANRY
DSE-34-6769,Apex Tannery Limited,Engineering,APEXTANRY, 13233, ,https://www.dsebd.org/displayCompany.php?name=APOLOISPAT
DSE-35-4477,Appollo Ispat Complex Limited,Corporate Bond,APOLOISPAT, 26004, http://www.apscl.gov.bd,https://www.dsebd.org/displayCompany.php?name=APSCLBOND
DSE-36-9581,APSCL Non-Convertible and Fully Redeemable Coupon Bearing Bond,Miscellaneous,APSCLBOND, 99602, http://www.aramitlimited.com,https://www.dsebd.org/displayCompany.php?name=ARAMIT
DSE-37-8220,Aramit Limited,Cement,ARAMIT, 21633, http://www.aramitcement.com,https://www.dsebd.org/displayCompany.php?name=ARAMITCEM
DSE-38-4016,Aramit Cement Limited,Textile,ARAMITCEM, 17456, http://www.argondenims.com,https://www.dsebd.org/displayCompany.php?name=ARGONDENIM
DSE-39-8925,Argon Denims Limited,Insurance,ARGONDENIM, 25740, http://www.asiainsurancebd.com,https://www.dsebd.org/displayCompany.php?name=ASIAINS
DSE-40-1052,Asia Insurance Limited,Insurance,ASIAINS, 25729, http://www.apgicl.com,https://www.dsebd.org/displayCompany.php?name=ASIAPACINS
DSE-41-8368,Asia Pacific General Insurance Co. Ltd.,Mutual Funds,ASIAPACINS, 12195, http://www.at-capital.com,https://www.dsebd.org/displayCompany.php?name=ATCSLGF
DSE-42-1250,Asian Tiger Sandhani Life Growth Fund,Engineering,ATCSLGF, 13212, http://www.atlas.gov.bd,https://www.dsebd.org/displayCompany.php?name=ATLASBANG
DSE-43-1325,Atlas Bangladesh Ltd.,Engineering,ATLASBANG, 13202, http://www.azizpipes.com,https://www.dsebd.org/displayCompany.php?name=AZIZPIPES
DSE-44-5427,Aziz Pipes Ltd.,Food & Allied,AZIZPIPES, 14257, http://www.bangas.com.bd,https://www.dsebd.org/displayCompany.php?name=BANGAS
